0.00,-0.00,0.04
0.10,0.01,0.03
0.20,0.00,0.03
0.30,0.01,0.03
0.40,0.01,0.03
0.50,0.01,0.02
0.60,0.01,0.03
0.70,0.01,0.04
0.80,-0.01,0.09
0.90,0.03,0.08
1.00,0.05,0.08
1.10,0.05,0.08
1.20,0.00,0.04
1.30,-0.06,0.05
1.40,-0.02,0.07
1.50,0.03,0.09
1.60,0.01,0.11
1.70,-0.01,0.07
1.80,-0.04,0.06
1.90,-0.03,-0.01
2.00,0.07,-0.00
2.10,0.05,0.03
2.20,0.05,0.03
2.30,0.01,0.07
2.40,-0.02,-0.01
2.50,0.01,-0.01
2.60,-0.04,-0.04
2.70,-0.02,-0.01
2.80,-0.00,0.01
2.90,0.01,0.07
3.00,-0.03,0.02
3.10,-0.02,0.04
3.20,-0.10,-0.01
3.30,0.06,-0.07
3.40,0.00,0.03
3.50,0.04,0.05
3.60,0.01,0.05
3.70,0.05,0.06
3.80,0.03,-0.04
3.90,-0.05,-0.01
4.00,0.01,0.01
4.10,-0.01,0.02
4.20,0.00,0.07
4.30,-0.01,0.03
4.40,0.11,-0.01
4.50,0.01,0.01
4.60,0.01,-0.02
4.70,-0.00,0.04
4.80,0.02,0.04
4.90,0.00,0.05
5.00,-0.01,-0.02
5.10,0.03,0.07
5.20,-0.04,-0.07
5.30,0.03,0.01
5.40,0.00,0.04
5.50,-0.06,0.08
5.60,-0.06,0.01
5.70,0.00,-0.03
5.80,0.08,-0.00
5.90,0.04,0.04
6.00,0.04,0.04
6.10,0.05,0.06
6.20,0.03,0.03
6.30,0.01,0.03
6.40,-0.01,-0.04
6.50,-0.03,-0.04
6.60,0.01,0.03
6.70,0.02,0.02
6.80,-0.00,0.07
6.90,-0.01,0.07
7.00,-0.06,0.00
7.10,0.06,0.06
7.20,-0.00,0.02
7.30,-0.00,0.02
7.40,0.04,0.02
7.50,0.00,0.07
7.60,0.02,0.07
7.70,-0.02,0.01
7.80,-0.05,0.08
7.90,-0.05,-0.04
8.00,-0.02,0.05
8.10,-0.03,0.06
8.20,0.00,0.03
8.30,0.03,0.04
8.40,-0.03,0.04
8.50,-0.01,0.01
8.60,-0.03,0.00
8.70,0.09,0.06
8.80,0.07,0.02
8.90,0.00,0.05
9.00,0.04,0.09
9.10,0.04,0.10
9.20,0.01,0.03
9.30,-0.02,0.01
9.40,-0.02,-0.05
9.50,-0.01,0.03
9.60,-0.03,0.02
9.70,0.01,0.03
9.80,-0.00,-0.02
9.90,-0.05,-0.09
